ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet NLP,Mentions Aquinos / Liberal Party,Mentions Aquinos / Liberal Party Negatively,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Retweets + Quote Tweets,Views,Rating,Reasoning,Remarks
57-1,3/27/23 17:21:00,https://twitter.com/marcossoldier07/status/744091843663585280,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,marcossoldier07,Ericka L.,Anything is possible if you've got enough nerve. -J.K Rowling,anonymous,06/16,7,16,,"900 cases against the Marcos family was filed by the PCGG, but all of these was won by the Marcoses still the government takes their wealth?","900 cases against the Marcos family was filed by the PCGG, but all of these was won by the Marcoses still the government takes their wealth?",900 cases against the Marcos family was filed by the PCGG but all of these was won by the Marcoses still the government takes their wealth,0,0,Text,18/06/16 08:58,,emotional,0,0,0,0,0,,,"In 2003, 2012, and 2014, the Marcos family was found guilty of hiding ill-gotten funds. These cases were filed by PCGG.

[https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea]

",
57-2,3/27/23 17:21:00,https://twitter.com/EliseoRamos3/status/803737817180291072,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,EliseoRamos3,ScrappyCoco◢◤,,identified,07/12,203,379,La República de Filipinas,@martdc1982 906 cases against all won by Marcos. How can you win? Protesting? So unprofessional and stupidity. Why not file a case in ICC?,906 cases against all won by Marcos. How can you win? Protesting? So unprofessional and stupidity. Why not file a case in ICC?,906 cases against all won by Marcos How can you win Protesting So unprofessional and stupidity Why not file a case in ICC,0,0,"Text, Reply",29/11/16 23:10,,emotional,0,0,0,0,0,,,"It was proven that the statement that Marcos won over 900+ cases wasn't true.

[https://verafiles.org/articles/vera-files-fact-check-video-resurrects-false-claims-marcos-c]",
57-3,3/27/23 17:21:00,https://twitter.com/ann_winter1224/status/802579707682140160,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,ann_winter1224,Joan Corpuz,"BSN .. alocal from State of Hawaii .. an artist, writer and photography,, a Democrat 🇺🇸 
  https://t.co/0ZHBs19qHL",identified,02/09,1596,124,Worldwide (Hawaii),"906 CASES ALL WON BY MARCOS. ALIGASYON KAY MARCOS KAGAGAWAN NG MGA AQUINO, WALANG SOLID NA EBIDENSYA https://t.co/PuUB76lhJZ","906 CASES ALL WON BY MARCOS. ALLEGATIONS AGAINST MARCOS MANUFACTURED BY THE AQUINOS, NO SOLID EVIDENCE",906 CASES ALL WON BY MARCOS ALLEGATIONS AGAINST MARCOS MANUFACTURED BY THE AQUINOS NO SOLID EVIDENCE,1,1,"Text, URL",26/11/16 18:28,,rational,0,0,0,0,0,,,"It was proven that the statement that Marcos won over 900+ cases wasn't true.

[https://verafiles.org/articles/vera-files-fact-check-video-resurrects-false-claims-marcos-c]",
57-4,3/27/23 17:21:00,https://twitter.com/m_n0thing/status/1044173081323819008,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,m_n0thing,iamanultracrepidarian,What's the point of following an ultracrepidarian?,anonymous,07/18,127,44,middle of nowhere,@gmanews Isn't it funny how LP keeps on reminiscing martial law to provoke our emotions like a psychopath using emotional blackmail to manipulate their prey yet they don't want to investigate? And the marcos kids are just quiet all this time even though they won the cases against them?🤔,Isn't it funny how LP keeps on reminiscing martial law to provoke our emotions like a psychopath using emotional blackmail to manipulate their prey yet they don't want to investigate? And the marcos kids are just quiet all this time even though they won the cases against them?,Isn't it funny how LP keeps on reminiscing martial law to provoke our emotions like a psychopath using emotional blackmail to manipulate their prey yet they don't want to investigate And the marcos kids are just quiet all this time even though they won the cases against them,1,1,"Text, Reply",24/09/18 10:33,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-5,3/27/23 17:21:00,https://twitter.com/Litemint12/status/1304407195568742402,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,Litemint12,Lite Mint,"Wake up, sleeping with lies",anonymous,09/20,40,3,,#ArawNgMagnanakaw ? Did you know that marcos family won all the cases against them? Did you know that your source PCGG that investigate marcoses has been shutdown?,Did you know that marcos family won all the cases against them? Did you know that your source PCGG that investigate marcoses has been shutdown?,Did you know that marcos family won all the cases against them Did you know that your source PCGG that investigate marcoses has been shutdown,0,0,Text,11/09/20 13:11,,rational,0,0,0,1,1,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-6,3/27/23 17:21:00,https://twitter.com/davjr77856492/status/1304351706554265600,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,davjr77856492,davejr,,anonymous,03/19,44,2,,"@Harperblammo @RobbiePadilla9 You refer to documents provided only by PCGG? Can you site 1 case won by PCGG using ds documents? FYI, Marcos won ALL the cases filed against them in different courts here and in the US using all the documents you mentioned. You are still sleeping since 1986... Common... Wake up!","You refer to documents provided only by PCGG? Can you site 1 case won by PCGG using these documents? FYI, Marcos won ALL the cases filed against them in different courts here and in the US using all the documents you mentioned. You are still sleeping since 1986... Common... Wake up!",You refer to documents provided only by PCGG Can you site 1 case won by PCGG using these documents FYI Marcos won ALL the cases filed against them in different courts here and in the US using all the documents you mentioned You are still sleeping since 1986 Common Wake up,0,0,"Text, Reply",11/09/20 09:30,,emotional,2,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-7,3/27/23 17:21:00,https://twitter.com/WinwinEklabu/status/1438406819827752962,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",anonymous,12/15,6455,7110,Metro Manila,"@aikonriche @Carlopontrias @jcpunongbayan You have'nt answered my question yet,WHERE ARE YOUR EVIDENCES that Marcos stole money??WHERE?? Marcos have already won All their cases in courts Abroad and Sandigan Bayan all won and all clear..😏 STOP spreading fake news.",You haven't answered my question yet WHERE ARE YOUR EVIDENCES that Marcos stole money WHERE Marcos have already won All their cases in courts Abroad and Sandiganbayan all won and all clear STOP spreading fake news,You haven't answered my question yet WHERE ARE YOUR EVIDENCES that Marcos stole money WHERE Marcos have already won All their cases in courts Abroad and Sandiganbayan all won and all clear STOP spreading fake news,0,0,"Text, Reply",16/09/21 07:38,,emotional,0,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-8,3/27/23 17:21:00,https://twitter.com/9uva9j79o8lXwTW/status/1451015684880683009,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,9uva9j79o8lXwTW,Zhao🇵🇭,"Praise HIM with all your might, heart and soul!",anonymous,10/20,94,5,,"Sandiganbayan DISMISSED ALL THE CASES filed against Marcos and also won the trials of century USA back then.
 
 Again...MARCOSES are NOT GUILTY!!!😏",Sandiganbayan DISMISSED ALL THE CASES filed against Marcos and also won the trials of century USA back then. Again... MARCOSES are NOT GUILTY!!!,Sandiganbayan DISMISSED ALL THE CASES filed against Marcos and also won the trials of century USA back then Again MARCOSES are NOT GUILTY,0,0,"Text, Reply",21/10/21 02:41,,rational,0,1,0,0,0,,,"Sandiganbayan ruled that Marcos deposited ill-gotten funds in Traders Royal Bank (TRB). Thus, not all cases against Marcos were dismissed by Sandiganbayan. 

[http://www.cnnphilippines.com/news/2021/9/29/sandiganbayan-marcos-ill-gotten-wealth.html]",
57-9,3/27/23 17:21:00,https://twitter.com/patxchott/status/1448510697931898881,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,patxchott,rae,heartu heartu 🧡 bambi 🧡,anonymous,04/14,513,197,"Seoul, Republic of Korea",Insisting Marcos is a corrupt but you're not aware that Marcos won all the cases against them.,Insisting Marcos is a corrupt but you're not aware that Marcos won all the cases against them.,Insisting Marcos is a corrupt but you're not aware that Marcos won all the cases against them,0,0,Text,14/10/21 04:47,,rational,2,1,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-10,3/27/23 17:21:00,https://twitter.com/QuateAdi/status/1464646650136174594,57,"Platero, Janinalaine",MRCS,The Marcos family won all cases filed against them,marcos won all cases,QuateAdi,Adi Quate,Happy thoughts,anonymous,11/21,26,0,,@ang_harot You do not have proof that President Marcos Stolen government money all your alleged are not proven by court. Go to hell with your Lugaw aspirant She never won and will never win. She's in deed a cheater holding an office she doesn't deserved. An Atty no case.,You do not have proof that President Marcos Stolen government money all your alleged are not proven by court. Go to hell with your Lugaw aspirant She never won and will never win. She's in deed a cheater holding an office she doesn't deserved. An Attorney no case.,You do not have proof that President Marcos Stolen government money all your alleged are not proven by court Go to hell with your Lugaw aspirant She never won and will never win She's in deed a cheater holding an office she doesn't deserved An Attorney no case,1,1,"Text, Reply",27/11/21 17:25,,emotional,0,0,0,0,0,,,"In 2003, 2012, and 2014, the Marcos family was found guilty of hiding ill-gotten funds.

[https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea]

",Tagged as mentioning Liberal Party due to reference to Leni Robredo https://fil.wikipilipinas.org/view/Leni_Lugaw
